Customer_id;recency;frequency;monetary;recency_score;frequency_score;monetary_score;RF_SCORE;segment
12391;23;6;2725;4;4;4;44;loyal_customers
12392;592;1;235;1;1;1;11;hibernating
12393;73;6;2399;3;4;4;34;loyal_customers
12394;65;2;1272;3;2;4;32;about_to_sleep
12395;20;15;4721;5;5;5;55;champions
12396;675;1;931;1;1;3;11;hibernating
12397;37;2;2410;4;2;4;42;potential_loyalists
12398;47;1;1636;4;1;4;41;promising
12399;120;7;1962;3;4;4;34;loyal_customers
12400;415;1;205;1;1;1;11;hibernating
12401;304;1;84;2;1;1;21;hibernating
12402;324;6;1257;2;4;4;24;at_Risk
12403;51;2;1019;4;2;3;42;potential_loyalists
12404;683;1;63;1;1;1;11;hibernating
12405;150;1;1710;3;1;4;31;about_to_sleep
12406;23;5;6390;4;4;5;44;loyal_customers
12407;51;5;1708;4;4;4;44;loyal_customers
12408;34;8;4341;4;4;5;44;loyal_customers
12409;80;7;23419;3;4;5;34;loyal_customers
12410;310;3;1014;2;3;3;23;at_Risk
12411;411;1;347;2;1;2;21;hibernating
12412;76;6;2597;3;4;4;34;loyal_customers
12413;68;4;999;3;3;3;33;need_attention
12414;218;6;952;2;4;3;24;at_Risk
12415;25;28;144458;4;5;5;45;loyal_customers
12416;658;1;203;1;1;1;11;hibernating
12417;4;20;6797;5;5;5;55;champions
12418;114;4;2021;3;3;4;33;need_attention
12419;387;2;503;2;2;2;22;hibernating
12420;65;1;600;3;1;2;31;about_to_sleep
12421;17;6;1099;5;4;3;54;champions
12422;97;16;4570;3;5;5;35;loyal_customers
12423;2;10;2622;5;5;4;55;champions
12424;164;4;3340;3;3;5;33;need_attention
12425;79;2;1741;3;2;4;32;about_to_sleep
12426;196;2;1345;2;2;4;22;hibernating
12427;23;3;826;4;3;3;43;potential_loyalists
12428;27;9;7956;4;5;5;45;loyal_customers
12429;10;8;6204;5;4;5;54;champions
12430;44;1;256;4;1;1;41;promising
12431;37;27;10432;4;5;5;45;loyal_customers
12432;44;4;4359;4;3;5;43;potential_loyalists
12433;2;10;16794;5;5;5;55;champions
12434;86;3;1103;3;3;3;33;need_attention
12435;81;6;13926;3;4;5;34;loyal_customers
12436;101;1;509;3;1;2;31;about_to_sleep
12437;3;39;12683;5;5;5;55;champions
12438;15;2;2907;5;2;5;52;potential_loyalists
12439;684;2;1143;1;2;3;12;hibernating
12440;463;2;859;1;2;3;12;hibernating
12441;368;1;174;2;1;1;21;hibernating
12442;4;1;172;5;1;1;51;new_customers
12443;733;1;485;1;1;2;11;hibernating
12444;22;5;5005;4;4;5;44;loyal_customers
12445;23;2;435;4;2;2;42;potential_loyalists
12446;59;1;1002;4;1;3;41;promising
12447;244;1;476;2;1;2;21;hibernating
12448;45;1;449;4;1;2;41;promising
12449;23;6;4836;4;4;5;44;loyal_customers
12450;157;5;688;3;4;3;34;loyal_customers
12451;12;8;12670;5;4;5;54;champions
12452;18;2;431;5;2;2;52;potential_loyalists
12453;135;1;707;3;1;3;31;about_to_sleep
12454;57;5;16680;4;4;5;44;loyal_customers
12455;74;10;5880;3;5;5;35;loyal_customers
12456;45;3;3181;4;3;5;43;potential_loyalists
12457;67;8;2996;3;4;5;34;loyal_customers
12458;72;4;1777;3;3;4;33;need_attention
12459;606;1;454;1;1;2;11;hibernating
12460;457;1;327;1;1;2;11;hibernating
12461;95;2;827;3;2;3;32;about_to_sleep
12462;20;2;1190;5;2;3;52;potential_loyalists
12463;54;4;1345;4;3;4;43;potential_loyalists
12464;11;8;1212;5;4;3;54;champions
12465;18;2;742;5;2;3;52;potential_loyalists
12466;683;1;57;1;1;1;11;hibernating
12467;424;1;133;1;1;1;11;hibernating
12468;189;5;3671;3;4;5;34;loyal_customers
12469;524;2;3071;1;2;5;12;hibernating
12470;691;1;212;1;1;1;11;hibernating
12471;3;79;39918;5;5;5;55;champions
12472;33;19;16249;4;5;5;45;loyal_customers
12473;30;5;3379;4;4;5;44;loyal_customers
12474;18;31;12373;5;5;5;55;champions
12475;55;2;1150;4;2;3;42;potential_loyalists
12476;17;23;14084;5;5;5;55;champions
12477;24;9;20276;4;5;5;45;loyal_customers
12478;5;1;681;5;1;3;51;new_customers
12479;12;1;527;5;1;2;51;new_customers
12480;29;7;5465;4;4;5;44;loyal_customers
12481;24;15;12186;4;5;5;45;loyal_customers
12482;577;27;21942;1;5;5;15;cant_loose
12483;18;19;5097;5;5;5;55;champions
12484;34;12;6354;4;5;5;45;loyal_customers
12485;530;1;708;1;1;3;11;hibernating
12486;433;1;1037;1;1;3;11;hibernating
12487;732;1;285;1;1;1;11;hibernating
12488;11;3;1299;5;3;4;53;potential_loyalists
12489;337;1;335;2;1;2;21;hibernating
12490;6;21;9824;5;5;5;55;champions
12491;40;1;460;4;1;2;41;promising
12492;64;3;715;3;3;3;33;need_attention
12493;167;2;434;3;2;2;32;about_to_sleep
12494;17;9;1815;5;5;4;55;champions
12495;642;1;357;1;1;2;11;hibernating
12496;621;2;45;1;2;1;12;hibernating
12497;83;3;6249;3;3;5;33;need_attention
12498;22;3;404;4;3;2;43;potential_loyalists
12499;561;1;394;1;1;2;11;hibernating
12500;24;19;5955;4;5;5;45;loyal_customers
12501;338;1;2169;2;1;4;21;hibernating
12502;97;5;3724;3;4;5;34;loyal_customers
12503;585;1;1126;1;1;3;11;hibernating
12504;19;4;779;5;3;3;53;potential_loyalists
12505;410;1;955;2;1;3;21;hibernating
12506;234;1;74;2;1;1;21;hibernating
12507;135;4;1844;3;3;4;33;need_attention
12508;27;2;398;4;2;2;42;potential_loyalists
12509;285;1;177;2;1;1;21;hibernating
12510;144;8;4203;3;4;5;34;loyal_customers
12511;430;1;3084;1;1;5;11;hibernating
12512;67;2;132;3;2;1;32;about_to_sleep
12513;114;1;612;3;1;3;31;about_to_sleep
12514;268;2;1598;2;2;4;22;hibernating
12515;354;1;384;2;1;2;21;hibernating
12516;79;4;2649;3;3;4;33;need_attention
12517;29;5;2482;4;4;4;44;loyal_customers
12518;2;5;2057;5;4;4;54;champions
12519;65;2;717;3;2;3;32;about_to_sleep
12520;80;5;2634;3;4;4;34;loyal_customers
12521;144;1;600;3;1;2;31;about_to_sleep
12522;40;2;193;4;2;1;42;potential_loyalists
12523;20;23;4352;5;5;5;55;champions
12524;10;17;11126;5;5;5;55;champions
12525;499;3;974;1;3;3;13;at_Risk
12526;2;3;1317;5;3;4;53;potential_loyalists
12527;83;5;736;3;4;3;34;loyal_customers
12528;10;6;1933;5;4;4;54;champions
12529;529;1;316;1;1;2;11;hibernating
12530;61;9;3759;3;5;5;35;loyal_customers
12531;16;2;1933;5;2;4;52;potential_loyalists
12532;31;1;350;4;1;2;41;promising
12533;629;2;1368;1;2;4;12;hibernating
12534;132;1;1089;3;1;3;31;about_to_sleep
12535;93;2;716;3;2;3;32;about_to_sleep
12536;60;1;4280;4;1;5;41;promising
12537;410;1;733;2;1;3;21;hibernating
12538;30;2;640;4;2;3;42;potential_loyalists
12539;23;7;11215;4;4;5;44;loyal_customers
12540;21;33;22254;4;5;5;45;loyal_customers
12541;31;3;981;4;3;3;43;potential_loyalists
12542;485;2;482;1;2;2;12;hibernating
12543;449;1;980;1;1;3;11;hibernating
12544;37;1;373;4;1;2;41;promising
12545;76;2;1000;3;2;3;32;about_to_sleep
12546;48;2;1162;4;2;3;42;potential_loyalists
12547;199;3;384;2;3;2;23;at_Risk
12548;167;1;95;3;1;1;31;about_to_sleep
12549;577;6;1576;1;4;4;14;at_Risk
12550;80;1;965;3;1;3;31;about_to_sleep
12551;359;1;168;2;1;1;21;hibernating
12552;40;2;438;4;2;2;42;potential_loyalists
12553;9;12;4609;5;5;5;55;champions
12554;450;1;469;1;1;2;11;hibernating
12555;683;1;129;1;1;1;11;hibernating
12556;51;2;600;4;2;2;42;potential_loyalists
12557;17;8;18096;5;4;5;54;champions
12558;9;1;270;5;1;1;51;new_customers
12559;312;2;562;2;2;2;22;hibernating
12560;6;3;2134;5;3;4;53;potential_loyalists
12561;304;1;239;2;1;1;21;hibernating
12562;9;9;4967;5;5;5;55;champions
12563;410;1;249;2;1;1;21;hibernating
12564;262;1;457;2;1;2;21;hibernating
12565;290;1;146;2;1;1;21;hibernating
12566;87;1;352;3;1;2;31;about_to_sleep
12567;24;15;11767;4;5;5;45;loyal_customers
12568;646;1;70;1;1;1;11;hibernating
12569;3;32;4125;5;5;5;55;champions
12570;683;1;78;1;1;1;11;hibernating
12571;41;2;520;4;2;2;42;potential_loyalists
12572;10;2;1020;5;2;3;52;potential_loyalists
12573;228;5;717;2;4;3;24;at_Risk
12574;317;1;218;2;1;1;21;hibernating
12575;458;2;623;1;2;3;12;hibernating
12576;37;8;2143;4;4;4;44;loyal_customers
12577;36;8;1617;4;4;4;44;loyal_customers
12578;22;4;4642;4;3;5;43;potential_loyalists
12579;79;1;440;3;1;2;31;about_to_sleep
12580;248;2;1053;2;2;3;22;hibernating
12581;41;1;198;4;1;1;41;promising
12582;240;4;1980;2;3;4;23;at_Risk
12583;4;27;13592;5;5;5;55;champions
12584;5;9;2338;5;5;4;55;champions
12585;235;2;2040;2;2;4;22;hibernating
12586;18;4;2063;5;3;4;53;potential_loyalists
12587;9;1;144;5;1;1;51;new_customers
12588;40;4;959;4;3;3;43;potential_loyalists
12589;30;7;3640;4;4;5;44;loyal_customers
12590;212;1;9341;2;1;5;21;hibernating
12591;318;3;1339;2;3;4;23;at_Risk
12592;93;4;1868;3;3;4;33;need_attention
12593;110;3;418;3;3;2;33;need_attention
12594;39;15;5090;4;5;5;45;loyal_customers
12595;506;1;299;1;1;2;11;hibernating
12596;52;2;618;4;2;3;42;potential_loyalists
12597;20;4;3811;5;3;5;53;potential_loyalists
12598;11;11;4534;5;5;5;55;champions
12599;30;13;2297;4;5;4;45;loyal_customers
12600;30;21;4967;4;5;5;45;loyal_customers
12601;191;6;681;2;4;3;24;at_Risk
12602;60;1;153;4;1;1;41;promising
12603;23;1;739;4;1;3;41;promising
12604;80;2;254;3;2;1;32;about_to_sleep
12605;377;4;1233;2;3;4;23;at_Risk
12606;683;1;21;1;1;1;11;hibernating
12607;61;1;1580;3;1;4;31;about_to_sleep
12608;406;1;416;2;1;2;21;hibernating
12609;79;9;3436;3;5;5;35;loyal_customers
12610;24;5;2100;4;4;4;44;loyal_customers
12611;53;1;1193;4;1;3;41;promising
12612;75;1;704;3;1;3;31;about_to_sleep
12613;58;10;6817;4;5;5;45;loyal_customers
12614;279;1;316;2;1;2;21;hibernating
12615;3;8;5741;5;4;5;54;champions
12616;96;3;1131;3;3;3;33;need_attention
12617;30;1;353;4;1;2;41;promising
12618;23;1;177;4;1;1;41;promising
12619;17;10;3781;5;5;5;55;champions
12620;16;3;1339;5;3;4;53;potential_loyalists
12621;3;35;24311;5;5;5;55;champions
12622;233;1;180;2;1;1;21;hibernating
12623;277;7;3748;2;4;5;24;at_Risk
12624;107;2;641;3;2;3;32;about_to_sleep
12625;213;4;5165;2;3;5;23;at_Risk
12626;24;9;6620;4;5;5;45;loyal_customers
12627;12;7;4479;5;4;5;54;champions
12628;5;3;786;5;3;3;53;potential_loyalists
12629;387;2;1558;2;2;4;22;hibernating
12630;11;2;1271;5;2;4;52;potential_loyalists
12631;58;6;3482;4;4;5;44;loyal_customers
12632;522;2;805;1;2;3;12;hibernating
12633;60;7;5678;4;4;5;44;loyal_customers
12634;537;2;490;1;2;2;12;hibernating
12635;91;4;2930;3;3;5;33;need_attention
12636;740;1;141;1;1;1;11;hibernating
12637;68;12;8284;3;5;5;35;loyal_customers
12638;34;2;921;4;2;3;42;potential_loyalists
12639;240;3;1312;2;3;4;23;at_Risk
12640;25;3;1175;4;3;3;43;potential_loyalists
12641;116;1;186;3;1;1;31;about_to_sleep
12642;26;3;1013;4;3;3;43;potential_loyalists
12643;129;12;8305;3;5;5;35;loyal_customers
12644;131;4;1918;3;3;4;33;need_attention
12645;35;8;3539;4;4;5;44;loyal_customers
12646;6;2;1347;5;2;4;52;potential_loyalists
12647;23;36;16956;4;5;5;45;loyal_customers
12648;156;4;1112;3;3;3;33;need_attention
12649;108;8;2295;3;4;4;34;loyal_customers
12650;4;1;314;5;1;2;51;new_customers
12651;336;4;378;2;3;2;23;at_Risk
12652;332;2;1017;2;2;3;22;hibernating
12653;150;3;4161;3;3;5;33;need_attention
12654;12;5;602;5;4;2;54;champions
12655;425;1;261;1;1;1;11;hibernating
12656;18;8;6408;5;4;5;54;champions
12657;12;4;1643;5;3;4;53;potential_loyalists
12658;20;1;686;5;1;3;51;new_customers
12659;31;1;92;4;1;1;41;promising
12660;12;1;245;5;1;1;51;new_customers
12661;437;1;162;1;1;1;11;hibernating
12662;2;20;6727;5;5;5;55;champions
12663;626;2;239;1;2;1;12;hibernating
12664;9;11;6070;5;5;5;55;champions
12665;326;3;314;2;3;2;23;at_Risk
12666;395;1;1248;2;1;4;21;hibernating
12667;59;1;620;4;1;3;41;promising
12668;13;10;11383;5;5;5;55;champions
12669;152;2;1608;3;2;4;32;about_to_sleep
12670;11;7;3760;5;4;5;54;champions
12671;607;1;2622;1;1;4;11;hibernating
12672;331;2;437;2;2;2;22;hibernating
12673;6;3;1230;5;3;4;53;potential_loyalists
12674;40;4;1971;4;3;4;43;potential_loyalists
12675;555;2;957;1;2;3;12;hibernating
12676;26;11;2843;4;5;4;45;loyal_customers
12677;556;2;395;1;2;2;12;hibernating
12678;43;21;34281;4;5;5;45;loyal_customers
12679;60;4;1113;4;3;3;43;potential_loyalists
12680;2;4;881;5;3;3;53;potential_loyalists
12681;16;45;29835;5;5;5;55;champions
12682;5;52;22950;5;5;5;55;champions
12683;5;21;11634;5;5;5;55;champions
12684;9;7;2284;5;4;4;54;champions
12685;29;6;2863;4;4;4;44;loyal_customers
12686;373;1;89;2;1;1;21;hibernating
12687;482;2;2139;1;2;4;12;hibernating
12688;115;1;4874;3;1;5;31;about_to_sleep
12689;27;2;1248;4;2;4;42;potential_loyalists
12690;207;1;389;2;1;2;21;hibernating
12691;29;7;1170;4;4;3;44;loyal_customers
12692;638;1;111;1;1;1;11;hibernating
12693;128;7;1703;3;4;4;34;loyal_customers
12694;71;3;1843;3;3;4;33;need_attention
12695;8;7;1407;5;4;4;54;champions
12696;436;2;852;1;2;3;12;hibernating
12697;30;3;958;4;3;3;43;potential_loyalists
12698;591;1;340;1;1;2;11;hibernating
12699;419;1;638;1;1;3;11;hibernating
12700;9;4;4940;5;3;5;53;potential_loyalists
12701;81;6;2446;3;4;4;34;loyal_customers
12702;21;1;219;4;1;1;41;promising
12703;72;4;1007;3;3;3;33;need_attention
12704;8;8;2341;5;4;4;54;champions
12705;16;14;11762;5;5;5;55;champions
12707;293;1;603;2;1;2;21;hibernating
12708;31;18;5118;4;5;5;45;loyal_customers
12709;16;34;30292;5;5;5;55;champions
12710;98;3;1149;3;3;3;33;need_attention
12711;613;2;1339;1;2;4;12;hibernating
12712;30;21;6723;4;5;5;45;loyal_customers
12713;2;1;849;5;1;3;51;new_customers
12714;10;12;14094;5;5;5;55;champions
12715;107;1;343;3;1;2;31;about_to_sleep
12716;5;2;1053;5;2;3;52;potential_loyalists
12717;152;3;1309;3;3;4;33;need_attention
12718;72;1;238;3;1;1;31;about_to_sleep
12719;6;2;645;5;2;3;52;potential_loyalists
12720;4;30;7787;5;5;5;55;champions
12721;33;8;4013;4;4;5;44;loyal_customers
12722;86;4;998;3;3;3;33;need_attention
12723;5;5;725;5;4;3;54;champions
12724;6;7;2318;5;4;4;54;champions
12725;372;4;2267;2;3;4;23;at_Risk
12726;29;11;4015;4;5;5;45;loyal_customers
12727;12;10;5680;5;5;5;55;champions
12728;72;5;1070;3;4;3;34;loyal_customers
12729;115;1;453;3;1;2;31;about_to_sleep
12730;523;1;829;1;1;3;11;hibernating
12731;25;17;25776;4;5;5;45;loyal_customers
12732;181;1;236;3;1;1;31;about_to_sleep
12733;235;4;2425;2;3;4;23;at_Risk
12734;354;3;640;2;3;3;23;at_Risk
12735;316;2;780;2;2;3;22;hibernating
12736;334;1;234;2;1;1;21;hibernating
12737;500;1;100;1;1;1;11;hibernating
12738;373;1;155;2;1;1;21;hibernating
12739;79;4;2727;3;3;4;33;need_attention
12740;65;1;428;3;1;2;31;about_to_sleep
12741;530;2;406;1;2;2;12;hibernating
12742;627;1;1202;1;1;3;11;hibernating
12743;135;2;540;3;2;2;32;about_to_sleep
12744;57;9;13560;4;5;5;45;loyal_customers
12745;488;3;925;1;3;3;13;at_Risk
12746;542;1;255;1;1;1;11;hibernating
12747;3;26;8898;5;5;5;55;champions
12748;2;333;51089;5;5;5;55;champions
12749;5;9;6897;5;5;5;55;champions
12750;130;1;276;3;1;1;31;about_to_sleep
12751;446;1;268;1;1;1;11;hibernating
12752;82;1;4367;3;1;5;31;about_to_sleep
12753;24;6;21429;4;4;5;44;loyal_customers
12754;237;3;3011;2;3;5;23;at_Risk
12755;282;11;5236;2;5;5;25;cant_loose
12756;88;1;112;3;1;1;31;about_to_sleep
12757;17;9;4235;5;5;5;55;champions
12758;118;7;9903;3;4;5;34;loyal_customers
12759;53;8;5021;4;4;5;44;loyal_customers
12760;457;1;348;1;1;2;11;hibernating
12761;459;2;783;1;2;3;12;hibernating
12762;9;2;1899;5;2;4;52;potential_loyalists
12763;139;2;494;3;2;2;32;about_to_sleep
12764;318;1;1694;2;1;4;21;hibernating
12765;473;6;1405;1;4;4;14;at_Risk
12766;5;9;8919;5;5;5;55;champions
12767;377;1;950;2;1;3;21;hibernating
12768;452;1;169;1;1;1;11;hibernating
12769;240;1;1144;2;1;3;21;hibernating
12770;212;2;3246;2;2;5;22;hibernating
12771;487;1;282;1;1;1;11;hibernating
12772;61;1;892;3;1;3;31;about_to_sleep
12773;565;1;124;1;1;1;11;hibernating
12774;537;1;99;1;1;1;11;hibernating
12775;18;7;1686;5;4;4;54;champions
12776;669;1;56;1;1;1;11;hibernating
12777;459;1;519;1;1;2;11;hibernating
12778;21;9;1776;4;5;4;45;loyal_customers
12779;39;14;6474;4;5;5;45;loyal_customers
12780;600;1;337;1;1;2;11;hibernating
12781;65;2;827;3;2;3;32;about_to_sleep
12782;6;11;4618;5;5;5;55;champions
12783;3;6;2226;5;4;4;54;champions
12784;10;3;1763;5;3;4;53;potential_loyalists
12785;365;3;1100;2;3;3;23;at_Risk
12786;611;1;729;1;1;3;11;hibernating
12787;11;4;862;5;3;3;53;potential_loyalists
12788;464;4;445;1;3;2;13;at_Risk
12789;66;3;273;3;3;1;33;need_attention
12790;193;2;592;2;2;2;22;hibernating
12791;375;6;864;2;4;3;24;at_Risk
12792;258;2;827;2;2;3;22;hibernating
12793;336;3;886;2;3;3;23;at_Risk
12794;54;2;860;4;2;3;42;potential_loyalists
12795;20;1;430;5;1;2;51;new_customers
12796;629;1;381;1;1;2;11;hibernating
12797;367;2;552;2;2;2;22;hibernating
12798;11;4;8511;5;3;5;53;potential_loyalists
12799;530;1;219;1;1;1;11;hibernating
12800;471;3;584;1;3;2;13;at_Risk
12801;502;1;1072;1;1;3;11;hibernating
12802;188;7;2416;3;4;4;34;loyal_customers
12803;394;1;1093;2;1;3;21;hibernating
12804;467;2;325;1;2;2;12;hibernating
12805;383;4;1435;2;3;4;23;at_Risk
12806;436;4;2879;1;3;4;13;at_Risk
12807;384;1;330;2;1;2;21;hibernating
12808;38;5;777;4;4;3;44;loyal_customers
12809;179;3;1756;3;3;4;33;need_attention
12810;536;2;535;1;2;2;12;hibernating
12811;262;5;1034;2;4;3;24;at_Risk
12812;46;1;230;4;1;1;41;promising
12813;503;3;1688;1;3;4;13;at_Risk
12814;103;1;126;3;1;1;31;about_to_sleep
12815;149;2;1063;3;2;3;32;about_to_sleep
12816;97;2;572;3;2;2;32;about_to_sleep
12817;282;3;691;2;3;3;23;at_Risk
12818;263;1;1542;2;1;4;21;hibernating
12819;459;1;541;1;1;2;11;hibernating
12820;4;11;2690;5;5;4;55;champions
12821;215;2;221;2;2;1;22;hibernating
12822;72;2;949;3;2;3;32;about_to_sleep
12823;76;18;6502;3;5;5;35;loyal_customers
12824;61;1;397;3;1;2;31;about_to_sleep
12825;522;2;519;1;2;2;12;hibernating
12826;4;12;2801;5;5;4;55;champions
12827;7;3;430;5;3;2;53;potential_loyalists
12828;4;6;1019;5;4;3;54;champions
12829;338;3;385;2;3;2;23;at_Risk
12830;39;6;6815;4;4;5;44;loyal_customers
12831;263;3;451;2;3;2;23;at_Risk
12832;33;2;383;4;2;2;42;potential_loyalists
12833;146;1;417;3;1;2;31;about_to_sleep
12834;284;1;312;2;1;2;21;hibernating
12835;429;41;5997;1;5;5;15;cant_loose
12836;60;15;6560;4;5;5;45;loyal_customers
12837;174;2;663;3;2;3;32;about_to_sleep
12838;35;10;2976;4;5;5;45;loyal_customers
12839;4;26;9669;5;5;5;55;champions
12840;145;7;4042;3;4;5;34;loyal_customers
12841;6;40;6958;5;5;5;55;champions
12842;71;4;1918;3;3;4;33;need_attention
12843;67;30;6583;3;5;5;35;loyal_customers
12844;30;4;649;4;3;3;43;potential_loyalists
12845;268;4;354;2;3;2;23;at_Risk
12846;683;1;16;1;1;1;11;hibernating
12847;23;2;1609;4;2;4;42;potential_loyalists
12848;677;1;208;1;1;1;11;hibernating
12849;32;6;3042;4;4;5;44;loyal_customers
12850;447;1;330;1;1;2;11;hibernating
12851;98;2;281;3;2;1;32;about_to_sleep
12852;296;1;312;2;1;2;21;hibernating
12853;136;11;3908;3;5;5;35;loyal_customers
12854;80;7;2971;3;4;5;34;loyal_customers
12855;374;4;613;2;3;3;23;at_Risk
12856;9;6;2171;5;4;4;54;champions
12857;212;6;3688;2;4;5;24;at_Risk
12858;384;1;147;2;1;1;21;hibernating
12859;460;1;575;1;1;2;11;hibernating
12860;694;1;54;1;1;1;11;hibernating
12861;621;1;68;1;1;1;11;hibernating
12862;427;2;985;1;2;3;12;hibernating
12863;53;6;2793;4;4;4;44;loyal_customers
12864;139;2;300;3;2;2;32;about_to_sleep
12865;27;4;3323;4;3;5;43;potential_loyalists
12866;284;3;1227;2;3;4;23;at_Risk
12867;27;13;7829;4;5;5;45;loyal_customers
12868;187;8;2044;3;4;4;34;loyal_customers
12869;683;1;338;1;1;2;11;hibernating
12870;376;3;1677;2;3;4;23;at_Risk
12871;85;3;744;3;3;3;33;need_attention
12872;328;12;3284;2;5;5;25;cant_loose
12873;283;3;2027;2;3;4;23;at_Risk
12874;386;2;948;2;2;3;22;hibernating
12875;144;5;1357;3;4;4;34;loyal_customers
12876;59;4;4082;4;3;5;43;potential_loyalists
12877;5;20;2942;5;5;5;55;champions
12878;237;2;855;2;2;3;22;hibernating
12879;46;3;573;4;3;2;43;potential_loyalists
12880;383;2;640;2;2;3;22;hibernating
12881;277;1;298;2;1;2;21;hibernating
12882;10;2;1463;5;2;4;52;potential_loyalists
12883;26;4;703;4;3;3;43;potential_loyalists
12884;89;1;309;3;1;2;31;about_to_sleep
12885;64;3;1175;3;3;3;33;need_attention
12886;69;2;1378;3;2;4;32;about_to_sleep
12887;385;1;222;2;1;1;21;hibernating
12888;215;2;354;2;2;2;22;hibernating
12889;382;4;385;2;3;2;23;at_Risk
12890;25;2;706;4;2;3;42;potential_loyalists
12891;187;11;841;3;5;3;35;loyal_customers
12892;398;1;263;2;1;1;21;hibernating
12893;32;1;177;4;1;1;41;promising
12894;576;1;157;1;1;1;11;hibernating
12895;43;2;373;4;2;2;42;potential_loyalists
12897;206;4;514;2;3;2;23;at_Risk
12898;465;2;296;1;2;2;12;hibernating
12899;415;1;366;1;1;2;11;hibernating
12900;423;1;340;1;1;2;11;hibernating
12901;10;28;17655;5;5;5;55;champions
12902;266;1;139;2;1;1;21;hibernating
12903;430;1;834;1;1;3;11;hibernating
12904;19;2;496;5;2;2;52;potential_loyalists
12905;578;2;1018;1;2;3;12;hibernating
12906;13;5;2920;5;4;5;54;champions
12907;397;2;509;2;2;2;22;hibernating
12908;177;5;1776;3;4;4;34;loyal_customers
12909;41;8;3088;4;4;5;44;loyal_customers
12910;24;13;5797;4;5;5;45;loyal_customers
12911;553;1;1652;1;1;4;11;hibernating
12912;4;5;1662;5;4;4;54;champions
12913;6;13;6283;5;5;5;55;champions
12914;402;1;224;2;1;1;21;hibernating
12915;150;4;975;3;3;3;33;need_attention
12916;140;7;4480;3;4;5;34;loyal_customers
12917;129;6;4359;3;4;5;34;loyal_customers
12919;9;6;1335;5;4;4;54;champions
12920;18;4;487;5;3;2;53;potential_loyalists
12921;10;74;35233;5;5;5;55;champions
12922;162;1;405;3;1;2;31;about_to_sleep
12923;65;3;770;3;3;3;33;need_attention
12924;89;12;2469;3;5;4;35;loyal_customers
12925;6;3;729;5;3;3;53;potential_loyalists
12926;412;4;1524;1;3;4;13;at_Risk
12927;396;1;197;2;1;1;21;hibernating
12928;36;12;4305;4;5;5;45;loyal_customers
12929;313;1;118;2;1;1;21;hibernating
12930;79;2;416;3;2;2;32;about_to_sleep
12931;23;57;91810;4;5;5;45;loyal_customers
12932;540;8;1699;1;4;4;14;at_Risk
12933;25;8;1637;4;4;4;44;loyal_customers
12934;738;1;182;1;1;1;11;hibernating
12935;3;15;4244;5;5;5;55;champions
12936;18;4;1064;5;3;3;53;potential_loyalists
12937;16;9;3098;5;5;5;55;champions
12938;27;1;114;4;1;1;41;promising
12939;65;20;25265;3;5;5;35;loyal_customers
12940;56;2;900;4;2;3;42;potential_loyalists
12941;725;1;377;1;1;2;11;hibernating
12942;132;3;676;3;3;3;33;need_attention
12943;559;2;497;1;2;2;12;hibernating
12944;37;2;605;4;2;2;42;potential_loyalists
12945;289;2;900;2;2;3;22;hibernating
